Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
12976,DALEM,0.000,UN,1.60,UN,True,1.60,111.20
12977,DALEM,-0.365,UN,1.40,OV,False,-1.40,109.80
12978,DALEM,0.000,UN,1.60,OV,False,-1.60,108.20
12979,DALEM,0.365,UN,1.80,OV,False,-1.80,106.40
12980,DALEM,0.365,UN,2.00,UN,True,2.00,108.40
12981,DALEM,0.365,UN,1.80,OV,False,-1.80,106.60
12982,DALEM,0.365,UN,2.00,OV,False,-2.00,104.60
12983,DALEM,0.365,UN,2.20,UN,True,2.20,106.80
12984,DALEM,0.000,UN,2.00,OV,False,-2.00,104.80
12985,DALEM,0.365,UN,2.20,OV,False,-2.20,102.60
12986,DALEM,0.365,UN,2.40,OV,False,-2.40,100.20
12987,DALEM,0.730,UN,2.60,OV,False,-2.60,97.60
12988,DALEM,0.730,UN,2.80,UN,True,2.80,100.40
12989,DALEM,0.730,UN,2.60,UN,True,2.60,103.00
12990,DALEM,0.365,UN,2.40,OV,False,-2.40,100.60
12991,DALEM,0.730,UN,2.60,UN,True,2.60,103.20
12992,DALEM,0.365,UN,2.40,OV,False,-2.40,100.80
12993,DALEM,0.730,UN,2.60,UN,True,2.60,103.40
12994,DALEM,0.730,UN,2.40,OV,False,-2.40,101.00
12995,DALEM,1.095,UN,2.60,OV,False,-2.60,98.40
12996,DALEM,1.461,UN,2.80,UN,True,2.80,101.20
12997,DALEM,1.095,UN,2.60,OV,False,-2.60,98.60
12998,DALEM,1.095,UN,2.80,UN,True,2.80,101.40
12999,DALEM,1.095,UN,2.60,UN,True,2.60,104.00
13000,DALEM,1.095,UN,2.40,OV,False,-2.40,101.60
13001,DALEM,1.095,UN,2.60,OV,False,-2.60,99.00
13002,DALEM,1.095,UN,2.80,OV,False,-2.80,96.20
13003,DALEM,1.095,UN,3.00,UN,True,3.00,99.20
13004,DALEM,1.095,UN,2.80,UN,True,2.80,102.00
13005,DALEM,1.095,UN,2.60,OV,False,-2.60,99.40
13006,DALEM,1.095,UN,2.80,OV,False,-2.80,96.60
13007,DALEM,1.461,UN,3.00,OV,False,-3.00,93.60
13008,DALEM,1.461,UN,3.20,OV,False,-3.20,90.40
13009,DALEM,1.461,UN,3.40,OV,False,-3.40,87.00
13010,DALEM,1.461,UN,3.60,OV,False,-3.60,83.40
13011,DALEM,1.826,UN,3.80,OV,False,-3.80,79.60
13012,DALEM,1.826,UN,4.00,OV,False,-4.00,75.60
13013,DALEM,1.826,UN,4.20,OV,False,-4.20,71.40
13014,DALEM,2.191,UN,4.40,UN,True,4.40,75.80
13015,DALEM,1.826,UN,4.20,OV,False,-4.20,71.60
13016,DALEM,1.826,UN,4.40,UN,True,4.40,76.00
13017,DALEM,1.461,UN,4.20,OV,False,-4.20,71.80
13018,DALEM,1.461,UN,4.40,UN,True,4.40,76.20
13019,DALEM,1.461,UN,4.20,UN,True,4.20,80.40
13020,DALEM,1.461,UN,4.00,UN,True,4.00,84.40
13021,DALEM,1.095,UN,3.80,UN,True,3.80,88.20
13022,DALEM,1.095,UN,3.60,UN,True,3.60,91.80
13023,DALEM,0.730,UN,3.40,OV,False,-3.40,88.40
13024,DALEM,1.095,UN,3.60,OV,False,-3.60,84.80
13025,DALEM,1.095,UN,3.80,OV,False,-3.80,81.00
13026,DALEM,1.095,UN,4.00,UN,True,4.00,85.00
13027,DALEM,1.095,UN,3.80,OV,False,-3.80,81.20
13028,DALEM,1.095,UN,4.00,OV,False,-4.00,77.20
13029,DALEM,1.461,UN,4.20,UN,True,4.20,81.40
13030,DALEM,1.461,UN,4.00,UN,True,4.00,85.40
13031,DALEM,1.095,UN,3.80,UN,True,3.80,89.20
13032,DALEM,0.730,UN,3.60,UN,True,3.60,92.80
13033,DALEM,0.365,UN,3.40,UN,True,3.40,96.20
13034,DALEM,0.365,UN,3.20,UN,True,3.20,99.40
13035,DALEM,0.365,UN,3.00,OV,False,-3.00,96.40
13036,DALEM,0.365,UN,3.20,OV,False,-3.20,93.20
13037,DALEM,0.365,UN,3.40,UN,True,3.40,96.60
13038,DALEM,0.000,UN,3.20,UN,True,3.20,99.80
13039,DALEM,-0.365,UN,3.00,UN,True,3.00,102.80
13040,DALEM,-0.730,UN,2.80,UN,True,2.80,105.60
13041,DALEM,-1.095,UN,2.60,UN,True,2.60,108.20
13042,DALEM,-1.461,UN,2.40,UN,True,2.40,110.60
13043,DALEM,-1.826,UN,2.20,UN,True,2.20,112.80
13044,DALEM,-2.191,UN,2.00,OV,False,-2.00,110.80
13045,DALEM,-1.826,UN,2.20,OV,False,-2.20,108.60
13046,DALEM,-1.826,UN,2.40,UN,True,2.40,111.00
13047,DALEM,-1.826,UN,2.20,OV,False,-2.20,108.80
13048,DALEM,-1.826,UN,2.40,OV,False,-2.40,106.40
13049,DALEM,-1.461,UN,2.60,UN,True,2.60,109.00
13050,DALEM,-1.461,UN,2.40,UN,True,2.40,111.40
13051,DALEM,-1.461,UN,2.20,UN,True,2.20,113.60
13052,DALEM,-1.461,UN,2.00,UN,True,2.00,115.60
13053,DALEM,-1.461,UN,1.80,OV,False,-1.80,113.80
13054,DALEM,-1.461,UN,2.00,OV,False,-2.00,111.80
13055,DALEM,-1.461,UN,2.20,OV,False,-2.20,109.60
13056,DALEM,-1.461,UN,2.40,OV,False,-2.40,107.20
13057,DALEM,-1.095,UN,2.60,OV,False,-2.60,104.60
13058,DALEM,-1.095,UN,2.80,OV,False,-2.80,101.80
13059,DALEM,-1.095,UN,3.00,UN,True,3.00,104.80
13060,DALEM,-1.095,UN,2.80,OV,False,-2.80,102.00
13061,DALEM,-0.730,UN,3.00,OV,False,-3.00,99.00
13062,DALEM,-0.365,UN,3.20,OV,False,-3.20,95.80
13063,DALEM,0.000,UN,3.40,OV,False,-3.40,92.40
13064,DALEM,0.365,UN,3.60,UN,True,3.60,96.00
13065,DALEM,0.365,UN,3.40,OV,False,-3.40,92.60
13066,DALEM,0.365,UN,3.60,UN,True,3.60,96.20
13067,DALEM,0.000,UN,3.40,UN,True,3.40,99.60
13068,DALEM,0.000,UN,3.20,OV,False,-3.20,96.40
13069,DALEM,0.365,UN,3.40,UN,True,3.40,99.80
13070,DALEM,0.365,UN,3.20,UN,True,3.20,103.00
13071,DALEM,0.365,UN,3.00,OV,False,-3.00,100.00
13072,DALEM,0.730,UN,3.20,UN,True,3.20,103.20
13073,DALEM,0.730,UN,3.00,OV,False,-3.00,100.20
13074,DALEM,1.095,UN,3.20,OV,False,-3.20,97.00
13075,DALEM,1.095,UN,3.40,OV,False,-3.40,93.60
13076,DALEM,1.095,UN,3.60,UN,True,3.60,97.20
13077,DALEM,1.095,UN,3.40,UN,True,3.40,100.60
